orig_index,perplexity,ppl_tokens,model
0,17.707252886958024,525,EleutherAI/pythia-1.4b
1,17.735683762445326,711,EleutherAI/pythia-1.4b
2,20.146773034931545,243,EleutherAI/pythia-1.4b
3,21.60414673824607,966,EleutherAI/pythia-1.4b
4,7.387599326365151,119,EleutherAI/pythia-1.4b
5,5.472668813146729,470,EleutherAI/pythia-1.4b
6,22.827864139433576,267,EleutherAI/pythia-1.4b
7,5.563720888139907,633,EleutherAI/pythia-1.4b
8,71.40934923858052,386,EleutherAI/pythia-1.4b
9,13.710787031340397,1068,EleutherAI/pythia-1.4b
10,22.106837409615295,591,EleutherAI/pythia-1.4b
11,23.857653657576005,609,EleutherAI/pythia-1.4b
12,15.627337252094877,455,EleutherAI/pythia-1.4b
13,3.4700255722733218,419,EleutherAI/pythia-1.4b
14,6.04826772710569,179,EleutherAI/pythia-1.4b
15,185.52282306147168,41,EleutherAI/pythia-1.4b
16,16.246884431496497,654,EleutherAI/pythia-1.4b
17,17.62552347847793,688,EleutherAI/pythia-1.4b
18,13.331385013850863,102,EleutherAI/pythia-1.4b
19,7.5584199179212455,363,EleutherAI/pythia-1.4b
20,4.614836734602536,293,EleutherAI/pythia-1.4b
21,14.153884765100612,797,EleutherAI/pythia-1.4b
22,6.378706634364731,168,EleutherAI/pythia-1.4b
23,45.48959705032055,73,EleutherAI/pythia-1.4b
24,9.750687443359874,961,EleutherAI/pythia-1.4b
25,3.955831165885591,267,EleutherAI/pythia-1.4b
26,6.56841921613537,319,EleutherAI/pythia-1.4b
27,25.159209642833552,252,EleutherAI/pythia-1.4b
28,18.490340997083365,514,EleutherAI/pythia-1.4b
29,11.868467097214554,376,EleutherAI/pythia-1.4b
30,13.320827207766724,377,EleutherAI/pythia-1.4b
31,4.138126478711089,560,EleutherAI/pythia-1.4b
32,13.270662766937866,640,EleutherAI/pythia-1.4b
33,5.227107498930779,212,EleutherAI/pythia-1.4b
34,5.534478499725816,549,EleutherAI/pythia-1.4b
35,4.308108432559722,267,EleutherAI/pythia-1.4b
36,4.997914422870961,262,EleutherAI/pythia-1.4b
37,12.361899383343262,347,EleutherAI/pythia-1.4b
38,9.050912674028192,335,EleutherAI/pythia-1.4b
39,13.060600531378457,495,EleutherAI/pythia-1.4b
40,16.192640772008478,615,EleutherAI/pythia-1.4b
41,7.4414698931475405,187,EleutherAI/pythia-1.4b
42,29.618922456458616,405,EleutherAI/pythia-1.4b
43,25.146807961613202,66,EleutherAI/pythia-1.4b
44,16.99362539364247,97,EleutherAI/pythia-1.4b
45,49.30334337447539,109,EleutherAI/pythia-1.4b
46,18.315072971910975,86,EleutherAI/pythia-1.4b
47,32.844782925062695,247,EleutherAI/pythia-1.4b
48,4.270367345551682,425,EleutherAI/pythia-1.4b
49,17.653259131804365,514,EleutherAI/pythia-1.4b
50,10.716953074645218,674,EleutherAI/pythia-1.4b
51,12.876269793657134,615,EleutherAI/pythia-1.4b
52,8.950381588747945,286,EleutherAI/pythia-1.4b
53,12.584815506724073,977,EleutherAI/pythia-1.4b
54,14.49088872595124,385,EleutherAI/pythia-1.4b
55,11.204693149195869,507,EleutherAI/pythia-1.4b
56,20.12440658193443,433,EleutherAI/pythia-1.4b
57,35.90470992566202,223,EleutherAI/pythia-1.4b
58,3.4489024971043323,443,EleutherAI/pythia-1.4b
59,6.81612344367215,128,EleutherAI/pythia-1.4b
60,3.943837036853662,378,EleutherAI/pythia-1.4b
61,16.76576545747036,43,EleutherAI/pythia-1.4b
62,22.589528922500822,580,EleutherAI/pythia-1.4b
63,11.77195698902296,600,EleutherAI/pythia-1.4b
64,5.546076702839403,224,EleutherAI/pythia-1.4b
65,16.661720918643745,775,EleutherAI/pythia-1.4b
66,3.9936997643315584,344,EleutherAI/pythia-1.4b
67,19.829674299173707,391,EleutherAI/pythia-1.4b
68,23.55796832224481,515,EleutherAI/pythia-1.4b
69,22.238838841266244,520,EleutherAI/pythia-1.4b
70,11.333078970662944,199,EleutherAI/pythia-1.4b
71,24.862995539424865,118,EleutherAI/pythia-1.4b
72,10.335968919619411,672,EleutherAI/pythia-1.4b
73,12.365015078873228,507,EleutherAI/pythia-1.4b
74,3.797887079905156,317,EleutherAI/pythia-1.4b
75,8.905474947369209,428,EleutherAI/pythia-1.4b
76,13.715213845045858,492,EleutherAI/pythia-1.4b
77,35.90478696889399,58,EleutherAI/pythia-1.4b
78,4.8517137548780935,219,EleutherAI/pythia-1.4b
79,33.065204704166476,46,EleutherAI/pythia-1.4b
80,11.140433102753168,1030,EleutherAI/pythia-1.4b
81,4.094514618536855,289,EleutherAI/pythia-1.4b
82,14.753532475030788,339,EleutherAI/pythia-1.4b
83,12.09574383450552,459,EleutherAI/pythia-1.4b
84,8.355229342398399,202,EleutherAI/pythia-1.4b
85,15.59727997605602,307,EleutherAI/pythia-1.4b
86,7.799532507762,1037,EleutherAI/pythia-1.4b
87,11.332697992728162,313,EleutherAI/pythia-1.4b
88,25.34853887519718,252,EleutherAI/pythia-1.4b
89,4.9327609743253955,325,EleutherAI/pythia-1.4b
90,26.962157505369404,771,EleutherAI/pythia-1.4b
91,4.4592972363035885,475,EleutherAI/pythia-1.4b
92,4.656881658609281,633,EleutherAI/pythia-1.4b
93,4.654361433927744,347,EleutherAI/pythia-1.4b
94,242.27990936926736,20,EleutherAI/pythia-1.4b
95,18.54927417485578,469,EleutherAI/pythia-1.4b
96,3.806268445862378,415,EleutherAI/pythia-1.4b
97,9.545850156241238,2027,EleutherAI/pythia-1.4b
98,6.404297422711088,121,EleutherAI/pythia-1.4b
99,10.776578544238328,331,EleutherAI/pythia-1.4b
100,6.23167945627279,574,EleutherAI/pythia-1.4b
101,22.207514597955818,462,EleutherAI/pythia-1.4b
102,3.9884415252547285,518,EleutherAI/pythia-1.4b
103,11.479575361459073,569,EleutherAI/pythia-1.4b
104,10.228504532599205,1038,EleutherAI/pythia-1.4b
105,26.192213190172172,41,EleutherAI/pythia-1.4b
106,11.431735013063655,1025,EleutherAI/pythia-1.4b
107,20.030832868639784,532,EleutherAI/pythia-1.4b
108,24.928328059004333,1921,EleutherAI/pythia-1.4b
109,14.727199254536977,677,EleutherAI/pythia-1.4b
110,18.19842407397824,214,EleutherAI/pythia-1.4b
111,28.135928065175687,278,EleutherAI/pythia-1.4b
112,16.124401688438986,828,EleutherAI/pythia-1.4b
113,21.60839143907648,114,EleutherAI/pythia-1.4b
114,51.216859926017634,32,EleutherAI/pythia-1.4b
115,10.243923631534784,721,EleutherAI/pythia-1.4b
116,14.906907036977513,95,EleutherAI/pythia-1.4b
117,30.80117807576833,490,EleutherAI/pythia-1.4b
118,58.55194687427065,152,EleutherAI/pythia-1.4b
119,32.883678060256365,87,EleutherAI/pythia-1.4b
120,11.256093688142776,1295,EleutherAI/pythia-1.4b
121,13.710342467282631,158,EleutherAI/pythia-1.4b
122,34.640059630586414,641,EleutherAI/pythia-1.4b
123,2.5923156346732203,326,EleutherAI/pythia-1.4b
124,21.933257939395006,641,EleutherAI/pythia-1.4b
125,14.415657377714734,287,EleutherAI/pythia-1.4b
126,28.60084410677461,391,EleutherAI/pythia-1.4b
127,3.578273882636364,543,EleutherAI/pythia-1.4b
128,18.689534852911383,675,EleutherAI/pythia-1.4b
129,20.015675686591063,226,EleutherAI/pythia-1.4b
130,12.624604282269386,142,EleutherAI/pythia-1.4b
131,4.078930387193328,292,EleutherAI/pythia-1.4b
132,8.698194726291975,355,EleutherAI/pythia-1.4b
133,2.811296790862514,513,EleutherAI/pythia-1.4b
134,5.80402335624084,153,EleutherAI/pythia-1.4b
135,9.15785523977919,170,EleutherAI/pythia-1.4b
136,9.995273596627293,365,EleutherAI/pythia-1.4b
137,5.4142111447915795,465,EleutherAI/pythia-1.4b
138,11.77672084325673,202,EleutherAI/pythia-1.4b
139,4.923526370953409,416,EleutherAI/pythia-1.4b
140,4.738653353144365,185,EleutherAI/pythia-1.4b
141,27.093019820621205,6864,EleutherAI/pythia-1.4b
142,23.43121122919311,864,EleutherAI/pythia-1.4b
143,15.14659963311483,331,EleutherAI/pythia-1.4b
144,12.711503997797443,232,EleutherAI/pythia-1.4b
145,50.463742680365414,32,EleutherAI/pythia-1.4b
146,12.501064716212873,653,EleutherAI/pythia-1.4b
147,17.056960177430955,667,EleutherAI/pythia-1.4b
148,4.798022846541886,179,EleutherAI/pythia-1.4b
149,9.3984568531947,404,EleutherAI/pythia-1.4b
150,9.870370885682682,505,EleutherAI/pythia-1.4b
151,25.867143083255748,128,EleutherAI/pythia-1.4b
152,20.87392030345388,759,EleutherAI/pythia-1.4b
153,11.434092846571728,555,EleutherAI/pythia-1.4b
154,8.672209361581524,70,EleutherAI/pythia-1.4b
155,4.071926678917383,385,EleutherAI/pythia-1.4b
156,8.684240886004108,346,EleutherAI/pythia-1.4b
157,12.503315185751443,996,EleutherAI/pythia-1.4b
158,4.5449159621815856,249,EleutherAI/pythia-1.4b
159,4.3179415976909254,215,EleutherAI/pythia-1.4b
160,5.254224106556183,181,EleutherAI/pythia-1.4b
161,22.330425418668955,288,EleutherAI/pythia-1.4b
162,3.564882727720283,482,EleutherAI/pythia-1.4b
163,7.3854516833259956,190,EleutherAI/pythia-1.4b
164,13.3535922481454,525,EleutherAI/pythia-1.4b
165,29.45741136138999,62,EleutherAI/pythia-1.4b
166,37.8327050900418,79,EleutherAI/pythia-1.4b
167,16.16942032681352,1409,EleutherAI/pythia-1.4b
168,13.985805561079673,449,EleutherAI/pythia-1.4b
169,7.956710155442847,197,EleutherAI/pythia-1.4b
170,2.019109127783335,801,EleutherAI/pythia-1.4b
171,6.6488782825577495,127,EleutherAI/pythia-1.4b
172,9.966147474567787,477,EleutherAI/pythia-1.4b
173,7.824148990912981,135,EleutherAI/pythia-1.4b
174,18.30296387937467,548,EleutherAI/pythia-1.4b
175,9.299456072644332,270,EleutherAI/pythia-1.4b
176,12.0936128570479,387,EleutherAI/pythia-1.4b
177,7.701464042432119,1090,EleutherAI/pythia-1.4b
178,11.78856162270844,606,EleutherAI/pythia-1.4b
179,6.99421167148741,286,EleutherAI/pythia-1.4b
180,14.851573393683633,396,EleutherAI/pythia-1.4b
181,8.564444283660508,542,EleutherAI/pythia-1.4b
182,14.412090254076452,1057,EleutherAI/pythia-1.4b
183,27.147074648768903,221,EleutherAI/pythia-1.4b
184,4.632415471107103,392,EleutherAI/pythia-1.4b
185,7.0859623767261075,280,EleutherAI/pythia-1.4b
186,35.056366758489396,19,EleutherAI/pythia-1.4b
187,9.380404669486467,392,EleutherAI/pythia-1.4b
188,15.259781087416735,657,EleutherAI/pythia-1.4b
189,10.017596769954311,539,EleutherAI/pythia-1.4b
190,5.206304403087825,412,EleutherAI/pythia-1.4b
191,20.612599389666606,471,EleutherAI/pythia-1.4b
192,8.906007894217113,1046,EleutherAI/pythia-1.4b
193,4.375466678944182,187,EleutherAI/pythia-1.4b
194,21.64789060608623,188,EleutherAI/pythia-1.4b
195,5.816985211362992,117,EleutherAI/pythia-1.4b
196,13.731117792877516,3066,EleutherAI/pythia-1.4b
197,5.580934186060856,770,EleutherAI/pythia-1.4b
198,3.7483648290023344,445,EleutherAI/pythia-1.4b
199,9.958014977680595,1030,EleutherAI/pythia-1.4b
200,33.81857340020864,779,EleutherAI/pythia-1.4b
201,5.743036657330453,304,EleutherAI/pythia-1.4b
202,4.677384812097552,488,EleutherAI/pythia-1.4b
203,325.49278943930733,17,EleutherAI/pythia-1.4b
204,27.623297914669628,253,EleutherAI/pythia-1.4b
205,24.11949878863738,28,EleutherAI/pythia-1.4b
206,21.06937507872735,464,EleutherAI/pythia-1.4b
207,16.776765554209305,1191,EleutherAI/pythia-1.4b
208,3.712645922761451,437,EleutherAI/pythia-1.4b
209,11.446503332603003,1043,EleutherAI/pythia-1.4b
210,11.325823677480459,897,EleutherAI/pythia-1.4b
211,27.53002804960004,452,EleutherAI/pythia-1.4b
212,4.371459004904182,472,EleutherAI/pythia-1.4b
213,22.612413843875927,454,EleutherAI/pythia-1.4b
214,24.432780959596577,864,EleutherAI/pythia-1.4b
215,17.781982917818954,328,EleutherAI/pythia-1.4b
216,22.695050132299595,254,EleutherAI/pythia-1.4b
217,25.53239490375807,626,EleutherAI/pythia-1.4b
218,3.897309620653773,1094,EleutherAI/pythia-1.4b
219,5.631585011386426,137,EleutherAI/pythia-1.4b
220,12.641347633029975,250,EleutherAI/pythia-1.4b
221,17.451473986600774,1335,EleutherAI/pythia-1.4b
222,18.40415468080841,663,EleutherAI/pythia-1.4b
223,21.612013487525076,693,EleutherAI/pythia-1.4b
224,6.462244422300625,153,EleutherAI/pythia-1.4b
225,30.787639503243973,1063,EleutherAI/pythia-1.4b
226,9.622477267085724,890,EleutherAI/pythia-1.4b
227,11.855856334115723,476,EleutherAI/pythia-1.4b
228,19.290419136177526,98,EleutherAI/pythia-1.4b
229,24.661806389092416,879,EleutherAI/pythia-1.4b
230,5.125376727034322,156,EleutherAI/pythia-1.4b
231,6.84278712922868,144,EleutherAI/pythia-1.4b
